Updated On,State,Total Tested,Positive,Negative,Unconfirmed,Male(Confirmed Cases),Female(Confirmed Cases),Transgender(Confirmed Cases),Unknown(Confirmed Cases),Male(Deceased Cases),Female(Deceased Cases),Transgender(Deceased Cases),Unknown(Deceased Cases)
17-04-2020,Andaman and Nicobar Islands,1403,12,1210,181,,,,,,,,
24-04-2020,Andaman and Nicobar Islands,2679,27,,246,,,,,,,,
27-04-2020,Andaman and Nicobar Islands,2848,33,,106,,,,,,,,
01-05-2020,Andaman and Nicobar Islands,3754,33,,199,,,,,,,,
16-05-2020,Andaman and Nicobar Islands,6677,33,,136,,,,,,,,
19-05-2020,Andaman and Nicobar Islands,6965,33,,117,,,,,,,,
20-05-2020,Andaman and Nicobar Islands,7082,33,,117,,,,,,,,
21-05-2020,Andaman and Nicobar Islands,7167,33,,85,,,,,,,,
22-05-2020,Andaman and Nicobar Islands,7263,33,,96,,,,,,,,
23-05-2020,Andaman and Nicobar Islands,7327,33,,61,,,,,,,,
24-05-2020,Andaman and Nicobar Islands,7327,33,,0,,,,,,,,
25-05-2020,Andaman and Nicobar Islands,7363,33,,34,,,,,,,,
26-05-2020,Andaman and Nicobar Islands,7448,33,,84,,,,,,,,
27-05-2020,Andaman and Nicobar Islands,7499,33,,51,,,,,,,,
28-05-2020,Andaman and Nicobar Islands,7519,33,,19,,,,,,,,
29-05-2020,Andaman and Nicobar Islands,7567,33,,48,,,,,,,,
30-05-2020,Andaman and Nicobar Islands,7567,33,,129,,,,,,,,
31-05-2020,Andaman and Nicobar Islands,7706,33,,0,,,,,,,,
01-06-2020,Andaman and Nicobar Islands,7805,33,,99,,,,,,,,
02-06-2020,Andaman and Nicobar Islands,8086,33,,274,,,,,,,,
03-06-2020,Andaman and Nicobar Islands,8295,33,,208,,,,,,,,
04-06-2020,Andaman and Nicobar Islands,8413,33,,118,,,,,,,,
05-06-2020,Andaman and Nicobar Islands,8694,33,,281,,,,,,,,
06-06-2020,Andaman and Nicobar Islands,9037,33,,343,,,,,,,,
07-06-2020,Andaman and Nicobar Islands,9242,33,,404,,,,,,,,
08-06-2020,Andaman and Nicobar Islands,9341,33,,279,,,,,,,,
09-06-2020,Andaman and Nicobar Islands,9859,33,,531,,,,,,,,
10-06-2020,Andaman and Nicobar Islands,10010,35,,382,,,,,,,,
11-06-2020,Andaman and Nicobar Islands,10226,38,,294,,,,,,,,
12-06-2020,Andaman and Nicobar Islands,10697,38,,556,,,,,,,,
13-06-2020,Andaman and Nicobar Islands,10955,38,,814,,,,,,,,
14-06-2020,Andaman and Nicobar Islands,11356,38,,1040,,,,,,,,
15-06-2020,Andaman and Nicobar Islands,11518,41,,579,,,,,,,,
16-06-2020,Andaman and Nicobar Islands,11809,44,,719,,,,,,,,
17-06-2020,Andaman and Nicobar Islands,12239,44,,383,,,,,,,,
18-06-2020,Andaman and Nicobar Islands,12622,45,,350,,,,,,,,
19-06-2020,Andaman and Nicobar Islands,12930,47,,306,,,,,,,,
20-06-2020,Andaman and Nicobar Islands,13320,47,,372,,,,,,,,
21-06-2020,Andaman and Nicobar Islands,13434,48,,437,,,,,,,,
22-06-2020,Andaman and Nicobar Islands,13511,48,,71,,,,,,,,
23-06-2020,Andaman and Nicobar Islands,13723,50,,188,,,,,,,,
24-06-2020,Andaman and Nicobar Islands,13994,56,,265,,,,,,,,
25-06-2020,Andaman and Nicobar Islands,14277,59,,223,,,,,,,,
26-06-2020,Andaman and Nicobar Islands,14583,72,,224,,,,,,,,
27-06-2020,Andaman and Nicobar Islands,14851,73,,217,,,,,,,,
28-06-2020,Andaman and Nicobar Islands,15094,83,,243,,,,,,,,
29-06-2020,Andaman and Nicobar Islands,15410,90,,281,,,,,,,,
30-06-2020,Andaman and Nicobar Islands,15709,97,,306,,,,,,,,
01-07-2020,Andaman and Nicobar Islands,15982,100,,243,,,,,,,,
02-07-2020,Andaman and Nicobar Islands,16278,109,,254,,,,,,,,
03-07-2020,Andaman and Nicobar Islands,16626,116,,323,,,,,,,,
04-07-2020,Andaman and Nicobar Islands,16832,119,,184,,,,,,,,
05-07-2020,Andaman and Nicobar Islands,16909,125,,77,,,,,,,,
06-07-2020,Andaman and Nicobar Islands,17095,141,,105,,,,,,,,
07-07-2020,Andaman and Nicobar Islands,17381,147,,199,,,,,,,,
08-07-2020,Andaman and Nicobar Islands,17643,149,,208,,,,,,,,
09-07-2020,Andaman and Nicobar Islands,17852,151,,190,,,,,,,,
10-07-2020,Andaman and Nicobar Islands,18046,156,,145,,,,,,,,
11-07-2020,Andaman and Nicobar Islands,18315,163,,269,,,,,,,,
12-07-2020,Andaman and Nicobar Islands,18447,163,,132,,,,,,,,
13-07-2020,Andaman and Nicobar Islands,18609,166,,135,,,,,,,,
14-07-2020,Andaman and Nicobar Islands,18884,171,,224,,,,,,,,
15-07-2020,Andaman and Nicobar Islands,19061,176,,166,,,,,,,,
16-07-2020,Andaman and Nicobar Islands,19227,180,,115,,,,,,,,
17-07-2020,Andaman and Nicobar Islands,19421,194,,136,,,,,,,,
18-07-2020,Andaman and Nicobar Islands,19671,198,,197,,,,,,,,
19-07-2020,Andaman and Nicobar Islands,19904,203,,233,,,,,,,,
20-07-2020,Andaman and Nicobar Islands,20301,207,,330,,,,,,,,
21-07-2020,Andaman and Nicobar Islands,20642,212,,237,,,,,,,,
22-07-2020,Andaman and Nicobar Islands,21043,221,,336,,,,,,,,
23-07-2020,Andaman and Nicobar Islands,21310,240,,386,,,,,,,,
24-07-2020,Andaman and Nicobar Islands,21743,259,,571,,,,,,,,
25-07-2020,Andaman and Nicobar Islands,21965,290,,353,,,,,,,,
26-07-2020,Andaman and Nicobar Islands,22049,324,,147,,,,,,,,
27-07-2020,Andaman and Nicobar Islands,22548,338,,411,,,,,,,,
28-07-2020,Andaman and Nicobar Islands,22925,363,,378,,,,,,,,
29-07-2020,Andaman and Nicobar Islands,23217,428,,612,,,,,,,,
30-07-2020,Andaman and Nicobar Islands,23615,471,,707,,,,,,,,
31-07-2020,Andaman and Nicobar Islands,24038,548,,901,,,,,,,,
01-08-2020,Andaman and Nicobar Islands,24308,636,,930,,,,,,,,
02-08-2020,Andaman and Nicobar Islands,24580,734,,642,,,,,,,,
03-08-2020,Andaman and Nicobar Islands,25034,830,,721,,,,,,,,
04-08-2020,Andaman and Nicobar Islands,25492,928,,928,,,,,,,,
05-08-2020,Andaman and Nicobar Islands,25826,1027,,983,,,,,,,,
06-08-2020,Andaman and Nicobar Islands,26516,1123,,1376,,,,,,,,
07-08-2020,Andaman and Nicobar Islands,26915,1222,,1472,,,,,,,,
08-08-2020,Andaman and Nicobar Islands,27073,1351,,1208,,,,,,,,
09-08-2020,Andaman and Nicobar Islands,27103,1490,,912,,,,,,,,
10-08-2020,Andaman and Nicobar Islands,27346,1625,,744,,,,,,,,
11-08-2020,Andaman and Nicobar Islands,27455,1764,,324,,,,,,,,
12-08-2020,Andaman and Nicobar Islands,27744,1900,,144,,,,,,,,
13-08-2020,Andaman and Nicobar Islands,27973,2037,,188,,,,,,,,
14-08-2020,Andaman and Nicobar Islands,28129,2186,,156,,,,,,,,
15-08-2020,Andaman and Nicobar Islands,28209,2306,,80,,,,,,,,
16-08-2020,Andaman and Nicobar Islands,28229,2399,,100,,,,,,,,
17-08-2020,Andaman and Nicobar Islands,28672,2445,,268,,,,,,,,
18-08-2020,Andaman and Nicobar Islands,28937,2529,,281,,,,,,,,
19-08-2020,Andaman and Nicobar Islands,29303,2604,,330,,,,,,,,
20-08-2020,Andaman and Nicobar Islands,29487,2680,,404,,,,,,,,
21-08-2020,Andaman and Nicobar Islands,29573,2747,,161,,,,,,,,
22-08-2020,Andaman and Nicobar Islands,29888,2808,,315,,,,,,,,
23-08-2020,Andaman and Nicobar Islands,30278,2860,,290,,,,,,,,
24-08-2020,Andaman and Nicobar Islands,30513,2904,,261,,,,,,,,
25-08-2020,Andaman and Nicobar Islands,31082,2945,,389,,,,,,,,
26-08-2020,Andaman and Nicobar Islands,31646,2985,,312,,,,,,,,
27-08-2020,Andaman and Nicobar Islands,31830,3018,,270,,,,,,,,
28-08-2020,Andaman and Nicobar Islands,32100,3050,,285,,,,,,,,
29-08-2020,Andaman and Nicobar Islands,32407,3081,,301,,,,,,,,
30-08-2020,Andaman and Nicobar Islands,32674,3104,,204,,,,,,,,
31-08-2020,Andaman and Nicobar Islands,33485,3132,,275,,,,,,,,
01-09-2020,Andaman and Nicobar Islands,35104,3160,,246,,,,,,,,
02-09-2020,Andaman and Nicobar Islands,36136,,,260,,,,,,,,
03-09-2020,Andaman and Nicobar Islands,37075,3223,,264,,,,,,,,
04-09-2020,Andaman and Nicobar Islands,37825,3257,,175,,,,,,,,
05-09-2020,Andaman and Nicobar Islands,38574,3292,,189,,,,,,,,
06-09-2020,Andaman and Nicobar Islands,39205,3332,,120,,,,,,,,
07-09-2020,Andaman and Nicobar Islands,39995,3359,,287,,,,,,,,
08-09-2020,Andaman and Nicobar Islands,41039,3392,,261,,,,,,,,
09-09-2020,Andaman and Nicobar Islands,41776,3426,,238,,,,,,,,
10-09-2020,Andaman and Nicobar Islands,42792,3465,,207,,,,,,,,
11-09-2020,Andaman and Nicobar Islands,43680,3494,,197,,,,,,,,
12-09-2020,Andaman and Nicobar Islands,44570,3521,,160,,,,,,,,
13-09-2020,Andaman and Nicobar Islands,45279,3546,,159,,,,,,,,
14-09-2020,Andaman and Nicobar Islands,45987,3557,,72,,,,,,,,
15-09-2020,Andaman and Nicobar Islands,46823,3574,,184,,,,,,,,
16-09-2020,Andaman and Nicobar Islands,47794,3593,,248,,,,,,,,
17-09-2020,Andaman and Nicobar Islands,48861,3604,,299,,,,,,,,
18-09-2020,Andaman and Nicobar Islands,50035,3631,,134,,,,,,,,
19-09-2020,Andaman and Nicobar Islands,50681,3644,,94,,,,,,,,
20-09-2020,Andaman and Nicobar Islands,51262,3651,,94,,,,,,,,
21-09-2020,Andaman and Nicobar Islands,52220,3673,,110,,,,,,,,
22-09-2020,Andaman and Nicobar Islands,52845,3691,,84,,,,,,,,
23-09-2020,Andaman and Nicobar Islands,53591,3712,,77,,,,,,,,
24-09-2020,Andaman and Nicobar Islands,52992,3744,,84,,,,,,,,
25-09-2020,Andaman and Nicobar Islands,55169,3759,,28,,,,,,,,
26-09-2020,Andaman and Nicobar Islands,56059,3774,,173,,,,,,,,
27-09-2020,Andaman and Nicobar Islands,56661,3794,,25,,,,,,,,
28-09-2020,Andaman and Nicobar Islands,57343,3803,,132,,,,,,,,
29-09-2020,Andaman and Nicobar Islands,58135,3821,,53,,,,,,,,
30-09-2020,Andaman and Nicobar Islands,58763,3835,,0,,,,,,,,
01-10-2020,Andaman and Nicobar Islands,59676,3848,,43,,,,,,,,
02-10-2020,Andaman and Nicobar Islands,60437,3858,,8,,,,,,,,
03-10-2020,Andaman and Nicobar Islands,61231,3868,,22,,,,,,,,
04-10-2020,Andaman and Nicobar Islands,62103,3884,,10,,,,,,,,
05-10-2020,Andaman and Nicobar Islands,63009,3899,,136,,,,,,,,
06-10-2020,Andaman and Nicobar Islands,63790,3912,,23,,,,,,,,
07-10-2020,Andaman and Nicobar Islands,65111,3935,,66,,,,,,,,
08-10-2020,Andaman and Nicobar Islands,66244,3952,,150,,,,,,,,
09-10-2020,Andaman and Nicobar Islands,67332,3976,,18,,,,,,,,
10-10-2020,Andaman and Nicobar Islands,68464,3992,,175,,,,,,,,
11-10-2020,Andaman and Nicobar Islands,69146,4005,,0,,,,,,,,
12-10-2020,Andaman and Nicobar Islands,69932,4023,,100,,,,,,,,
13-10-2020,Andaman and Nicobar Islands,70780,4036,,92,,,,,,,,
14-10-2020,Andaman and Nicobar Islands,71624,4046,,4,,,,,,,,
15-10-2020,Andaman and Nicobar Islands,72525,4062,,150,,,,,,,,
16-10-2020,Andaman and Nicobar Islands,73363,4072,,111,,,,,,,,
17-10-2020,Andaman and Nicobar Islands,74277,4083,,250,,,,,,,,
18-10-2020,Andaman and Nicobar Islands,75030,4108,,35,,,,,,,,
19-10-2020,Andaman and Nicobar Islands,75977,4126,,10,,,,,,,,
20-10-2020,Andaman and Nicobar Islands,77200,4141,,363,,,,,,,,
21-10-2020,Andaman and Nicobar Islands,78303,4168,,263,,,,,,,,
22-10-2020,Andaman and Nicobar Islands,79301,4184,,193,,,,,,,,
23-10-2020,Andaman and Nicobar Islands,80768,4207,,221,,,,,,,,
24-10-2020,Andaman and Nicobar Islands,81880,4225,,272,,,,,,,,
25-10-2020,Andaman and Nicobar Islands,82626,4245,,7,,,,,,,,
26-10-2020,Andaman and Nicobar Islands,83115,4253,,10,,,,,,,,
27-10-2020,Andaman and Nicobar Islands,84308,4274,,10,,,,,,,,
28-10-2020,Andaman and Nicobar Islands,85378,4289,,15,,,,,,,,
29-10-2020,Andaman and Nicobar Islands,86715,4305,,200,,,,,,,,
30-10-2020,Andaman and Nicobar Islands,87789,4317,,207,,,,,,,,
31-10-2020,Andaman and Nicobar Islands,88453,4332,,4,,,,,,,,
01-11-2020,Andaman and Nicobar Islands,89559,4340,,0,,,,,,,,
02-11-2020,Andaman and Nicobar Islands,90901,4352,,0,,,,,,,,
03-11-2020,Andaman and Nicobar Islands,92249,4372,,14,,,,,,,,
04-11-2020,Andaman and Nicobar Islands,93406,4389,,23,,,,,,,,
05-11-2020,Andaman and Nicobar Islands,94639,4403,,65,,,,,,,,
06-11-2020,Andaman and Nicobar Islands,96214,4420,,54,,,,,,,,
07-11-2020,Andaman and Nicobar Islands,97603,4441,,3,,,,,,,,
08-11-2020,Andaman and Nicobar Islands,98812,4450,,0,,,,,,,,
09-11-2020,Andaman and Nicobar Islands,100025,4463,,170,,,,,,,,
10-11-2020,Andaman and Nicobar Islands,101226,4477,,183,,,,,,,,
11-11-2020,Andaman and Nicobar Islands,102433,4494,,235,,,,,,,,
12-11-2020,Andaman and Nicobar Islands,103599,4507,,161,,,,,,,,
13-11-2020,Andaman and Nicobar Islands,104785,4518,,112,,,,,,,,
14-11-2020,Andaman and Nicobar Islands,105699,4527,,0,,,,,,,,
15-11-2020,Andaman and Nicobar Islands,106734,4536,,0,,,,,,,,
16-11-2020,Andaman and Nicobar Islands,108080,4557,,70,,,,,,,,
17-11-2020,Andaman and Nicobar Islands,109646,4574,,111,,,,,,,,
18-11-2020,Andaman and Nicobar Islands,111166,4593,,2,,,,,,,,
19-11-2020,Andaman and Nicobar Islands,112792,4604,,2,,,,,,,,
20-11-2020,Andaman and Nicobar Islands,114392,4617,,89,,,,,,,,
21-11-2020,Andaman and Nicobar Islands,115968,4631,,0,,,,,,,,
22-11-2020,Andaman and Nicobar Islands,117093,4641,,0,,,,,,,,
23-11-2020,Andaman and Nicobar Islands,118654,4656,,88,,,,,,,,
24-11-2020,Andaman and Nicobar Islands,120324,4667,,46,,,,,,,,
25-11-2020,Andaman and Nicobar Islands,121931,4677,,18,,,,,,,,
26-11-2020,Andaman and Nicobar Islands,123165,4682,,0,,,,,,,,
27-11-2020,Andaman and Nicobar Islands,124832,4689,,2,,,,,,,,
28-11-2020,Andaman and Nicobar Islands,126331,4698,,3,,,,,,,,
29-11-2020,Andaman and Nicobar Islands,127912,4704,,2,,,,,,,,
30-11-2020,Andaman and Nicobar Islands,129389,4710,,0,,,,,,,,
01-12-2020,Andaman and Nicobar Islands,131080,4718,,1,,,,,,,,
02-12-2020,Andaman and Nicobar Islands,132784,4723,,1,,,,,,,,
03-12-2020,Andaman and Nicobar Islands,134355,4729,,2,,,,,,,,
04-12-2020,Andaman and Nicobar Islands,135952,4742,,1,,,,,,,,
05-12-2020,Andaman and Nicobar Islands,137648,4747,,0,,,,,,,,
06-12-2020,Andaman and Nicobar Islands,139326,4758,,0,,,,,,,,
07-12-2020,Andaman and Nicobar Islands,140961,4773,,3,,,,,,,,
08-12-2020,Andaman and Nicobar Islands,142667,4778,,2,,,,,,,,
09-12-2020,Andaman and Nicobar Islands,144401,4783,,4,,,,,,,,
10-12-2020,Andaman and Nicobar Islands,146143,4791,,7,,,,,,,,
11-12-2020,Andaman and Nicobar Islands,147806,4798,,5,,,,,,,,
12-12-2020,Andaman and Nicobar Islands,149926,4805,,4,,,,,,,,
13-12-2020,Andaman and Nicobar Islands,152004,4818,,8,,,,,,,,
14-12-2020,Andaman and Nicobar Islands,153685,4834,,8,,,,,,,,
15-12-2020,Andaman and Nicobar Islands,155454,4842,,0,,,,,,,,
16-12-2020,Andaman and Nicobar Islands,157242,4850,,2,,,,,,,,
17-12-2020,Andaman and Nicobar Islands,159027,4860,,1,,,,,,,,
18-12-2020,Andaman and Nicobar Islands,160856,4869,,4,,,,,,,,
19-12-2020,Andaman and Nicobar Islands,162821,4875,,0,,,,,,,,
20-12-2020,Andaman and Nicobar Islands,165024,4881,,1,,,,,,,,
21-12-2020,Andaman and Nicobar Islands,166845,4888,,1,,,,,,,,
22-12-2020,Andaman and Nicobar Islands,168769,4893,,2,,,,,,,,
23-12-2020,Andaman and Nicobar Islands,170666,4896,,5,,,,,,,,
24-12-2020,Andaman and Nicobar Islands,172756,4901,,0,,,,,,,,
25-12-2020,Andaman and Nicobar Islands,174482,4912,,0,,,,,,,,
26-12-2020,Andaman and Nicobar Islands,175578,4912,,0,,,,,,,,
27-12-2020,Andaman and Nicobar Islands,176898,4924,,3,,,,,,,,
28-12-2020,Andaman and Nicobar Islands,177926,4929,,3,,,,,,,,
29-12-2020,Andaman and Nicobar Islands,179444,4936,,2,,,,,,,,
30-12-2020,Andaman and Nicobar Islands,180626,4941,,1,,,,,,,,
31-12-2020,Andaman and Nicobar Islands,181640,4945,,3,,,,,,,,
01-01-2021,Andaman and Nicobar Islands,182631,4946,,5,,,,,,,,
02-01-2021,Andaman and Nicobar Islands,183725,4947,,5,,,,,,,,
03-01-2021,Andaman and Nicobar Islands,184955,4948,,0,,,,,,,,
04-01-2021,Andaman and Nicobar Islands,186140,4948,,0,,,,,,,,
05-01-2021,Andaman and Nicobar Islands,187115,4949,,0,,,,,,,,
06-01-2021,Andaman and Nicobar Islands,188351,4949,,0,,,,,,,,
07-01-2021,Andaman and Nicobar Islands,190031,4958,,0,,,,,,,,
08-01-2021,Andaman and Nicobar Islands,191206,4959,,1,,,,,,,,
09-01-2021,Andaman and Nicobar Islands,192560,4959,,0,,,,,,,,
10-01-2021,Andaman and Nicobar Islands,193719,4960,,0,,,,,,,,
11-01-2021,Andaman and Nicobar Islands,195351,4963,,0,,,,,,,,
12-01-2021,Andaman and Nicobar Islands,196859,4966,,0,,,,,,,,
13-01-2021,Andaman and Nicobar Islands,198478,4969,,0,,,,,,,,
14-01-2021,Andaman and Nicobar Islands,199805,4976,,0,,,,,,,,
15-01-2021,Andaman and Nicobar Islands,200953,4979,,0,,,,,,,,
16-01-2021,Andaman and Nicobar Islands,202521,4982,,4,,,,,,,,
17-01-2021,Andaman and Nicobar Islands,203741,4983,,2,,,,,,,,
18-01-2021,Andaman and Nicobar Islands,205411,4988,,0,,,,,,,,
19-01-2021,Andaman and Nicobar Islands,206732,4989,,0,,,,,,,,
20-01-2021,Andaman and Nicobar Islands,208179,4991,,0,,,,,,,,
21-01-2021,Andaman and Nicobar Islands,209437,4991,,4,,,,,,,,
22-01-2021,Andaman and Nicobar Islands,210762,4992,,0,,,,,,,,
23-01-2021,Andaman and Nicobar Islands,212393,4993,,0,,,,,,,,
24-01-2021,Andaman and Nicobar Islands,213467,4993,,0,,,,,,,,
25-01-2021,Andaman and Nicobar Islands,214915,4994,,4,,,,,,,,
26-01-2021,Andaman and Nicobar Islands,215858,4994,,0,,,,,,,,
27-01-2021,Andaman and Nicobar Islands,217007,4994,,0,,,,,,,,
28-01-2021,Andaman and Nicobar Islands,218629,4994,,4,,,,,,,,
29-01-2021,Andaman and Nicobar Islands,220484,4994,,1,,,,,,,,
30-01-2021,Andaman and Nicobar Islands,221876,4994,,1,,,,,,,,
31-01-2021,Andaman and Nicobar Islands,223137,4994,,0,,,,,,,,
01-02-2021,Andaman and Nicobar Islands,224852,4994,,0,,,,,,,,
02-02-2021,Andaman and Nicobar Islands,226584,4994,,0,,,,,,,,
03-02-2021,Andaman and Nicobar Islands,228290,4994,,,,,,,,,,
04-02-2021,Andaman and Nicobar Islands,230133,4994,,0,,,,,,,,
05-02-2021,Andaman and Nicobar Islands,231633,4997,,0,,,,,,,,
06-02-2021,Andaman and Nicobar Islands,233597,5000,,0,,,,,,,,
07-02-2021,Andaman and Nicobar Islands,235072,5001,,0,,,,,,,,
08-02-2021,Andaman and Nicobar Islands,236643,5005,,0,,,,,,,,
09-02-2021,Andaman and Nicobar Islands,238339,5007,,0,,,,,,,,
10-02-2021,Andaman and Nicobar Islands,240362,5007,,0,,,,,,,,
11-02-2021,Andaman and Nicobar Islands,241833,5007,,0,,,,,,,,
12-02-2021,Andaman and Nicobar Islands,243631,5007,,0,,,,,,,,
13-02-2021,Andaman and Nicobar Islands,245745,5009,,0,,,,,,,,
14-02-2021,Andaman and Nicobar Islands,247289,5009,,0,,,,,,,,
15-02-2021,Andaman and Nicobar Islands,248562,5009,,0,,,,,,,,
16-02-2021,Andaman and Nicobar Islands,250037,5013,,0,,,,,,,,
17-02-2021,Andaman and Nicobar Islands,251774,5014,,0,,,,,,,,
18-02-2021,Andaman and Nicobar Islands,253718,5014,,0,,,,,,,,
19-02-2021,Andaman and Nicobar Islands,255675,5014,,0,,,,,,,,
20-02-2021,Andaman and Nicobar Islands,257213,5014,,0,,,,,,,,
21-02-2021,Andaman and Nicobar Islands,258773,5014,,0,,,,,,,,
22-02-2021,Andaman and Nicobar Islands,260324,5015,,0,,,,,,,,
23-02-2021,Andaman and Nicobar Islands,261719,5016,,0,,,,,,,,
24-02-2021,Andaman and Nicobar Islands,263090,5016,,0,,,,,,,,
25-02-2021,Andaman and Nicobar Islands,264369,5016,,0,,,,,,,,
26-02-2021,Andaman and Nicobar Islands,265852,5017,,0,,,,,,,,
27-02-2021,Andaman and Nicobar Islands,267209,5018,,0,,,,,,,,
28-02-2021,Andaman and Nicobar Islands,268499,5020,,0,,,,,,,,
01-03-2021,Andaman and Nicobar Islands,269799,5020,,,,,,,,,,
02-03-2021,Andaman and Nicobar Islands,271193,5020,,,,,,,,,,
03-03-2021,Andaman and Nicobar Islands,273010,5022,,,,,,,,,,
04-03-2021,Andaman and Nicobar Islands,274849,5024,,,,,,,,,,
05-03-2021,Andaman and Nicobar Islands,276471,5024,,,,,,,,,,
06-03-2021,Andaman and Nicobar Islands,278437,5024,,,,,,,,,,
07-03-2021,Andaman and Nicobar Islands,280041,,,,,,,,,,,
08-03-2021,Andaman and Nicobar Islands,281955,5026,,,,,,,,,,
09-03-2021,Andaman and Nicobar Islands,283492,5028,,,,,,,,,,
10-03-2021,Andaman and Nicobar Islands,285087,5028,,,,,,,,,,
11-03-2021,Andaman and Nicobar Islands,286505,5028,,,,,,,,,,
12-03-2021,Andaman and Nicobar Islands,288197,5029,,,,,,,,,,
13-03-2021,Andaman and Nicobar Islands,290341,5030,,,,,,,,,,
14-03-2021,Andaman and Nicobar Islands,291842,5031,,,,,,,,,,
15-03-2021,Andaman and Nicobar Islands,294094,5031,,,,,,,,,,
16-03-2021,Andaman and Nicobar Islands,295827,5032,,,,,,,,,,
17-03-2021,Andaman and Nicobar Islands,297433,5035,,,,,,,,,,
18-03-2021,Andaman and Nicobar Islands,299048,5036,,,,,,,,,,
19-03-2021,Andaman and Nicobar Islands,300892,5038,,,,,,,,,,
20-03-2021,Andaman and Nicobar Islands,302566,5038,,,,,,,,,,
21-03-2021,Andaman and Nicobar Islands,304391,5039,,,,,,,,,,
22-03-2021,Andaman and Nicobar Islands,305778,5039,,,,,,,,,,
23-03-2021,Andaman and Nicobar Islands,307255,5039,,,,,,,,,,
24-03-2021,Andaman and Nicobar Islands,308812,5041,,,,,,,,,,
25-03-2021,Andaman and Nicobar Islands,310615,5042,,,,,,,,,,
26-03-2021,Andaman and Nicobar Islands,312378,5043,,,,,,,,,,
27-03-2021,Andaman and Nicobar Islands,314309,5044,,,,,,,,,,
28-03-2021,Andaman and Nicobar Islands,315818,5046,,,,,,,,,,
29-03-2021,Andaman and Nicobar Islands,317137,5052,,,,,,,,,,
30-03-2021,Andaman and Nicobar Islands,318382,5081,,,,,,,,,,
31-03-2021,Andaman and Nicobar Islands,319864,5083,,,,,,,,,,
01-04-2021,Andaman and Nicobar Islands,321456,5084,,,,,,,,,,
02-04-2021,Andaman and Nicobar Islands,323001,5084,,,,,,,,,,
03-04-2021,Andaman and Nicobar Islands,324207,5098,,,,,,,,,,
04-04-2021,Andaman and Nicobar Islands,325826,5109,,,,,,,,,,
05-04-2021,Andaman and Nicobar Islands,327270,5116,,,,,,,,,,
06-04-2021,Andaman and Nicobar Islands,328737,5123,,,,,,,,,,
07-04-2021,Andaman and Nicobar Islands,330481,5131,,,,,,,,,,
08-04-2021,Andaman and Nicobar Islands,332119,5149,,,,,,,,,,
09-04-2021,Andaman and Nicobar Islands,333671,5161,,,,,,,,,,
10-04-2021,Andaman and Nicobar Islands,335784,5175,,,,,,,,,,
11-04-2021,Andaman and Nicobar Islands,337833,5190,,,,,,,,,,
12-04-2021,Andaman and Nicobar Islands,339482,5201,,,,,,,,,,
13-04-2021,Andaman and Nicobar Islands,341557,5209,,,,,,,,,,
14-04-2021,Andaman and Nicobar Islands,343431,5247,,,,,,,,,,
15-04-2021,Andaman and Nicobar Islands,345485,5262,,,,,,,,,,
16-04-2021,Andaman and Nicobar Islands,347489,5289,,,,,,,,,,
17-04-2021,Andaman and Nicobar Islands,349739,5331,,,,,,,,,,
18-04-2021,Andaman and Nicobar Islands,352086,5390,,,,,,,,,,
19-04-2021,Andaman and Nicobar Islands,353754,5421,,,,,,,,,,
20-04-2021,Andaman and Nicobar Islands,355507,5466,,,,,,,,,,
21-04-2021,Andaman and Nicobar Islands,357442,5490,,,,,,,,,,
22-04-2021,Andaman and Nicobar Islands,358903,5527,,,,,,,,,,
23-04-2021,Andaman and Nicobar Islands,360595,5569,,,,,,,,,,
24-04-2021,Andaman and Nicobar Islands,361594,5614,,,,,,,,,,
25-04-2021,Andaman and Nicobar Islands,363056,5665,,,,,,,,,,
26-04-2021,Andaman and Nicobar Islands,364735,5716,,,,,,,,,,
27-04-2021,Andaman and Nicobar Islands,366683,5764,,,,,,,,,,
28-04-2021,Andaman and Nicobar Islands,367689,5816,,,,,,,,,,
29-04-2021,Andaman and Nicobar Islands,368945,5875,,,,,,,,,,
30-04-2021,Andaman and Nicobar Islands,370896,5949,,,,,,,,,,
01-05-2021,Andaman and Nicobar Islands,372214,6046,,,,,,,,,,
02-05-2021,Andaman and Nicobar Islands,373007,6084,,,,,,,,,,
03-05-2021,Andaman and Nicobar Islands,373785,6150,,,,,,,,,,
04-05-2021,Andaman and Nicobar Islands,374428,6181,,,,,,,,,,
05-05-2021,Andaman and Nicobar Islands,375095,6223,,,,,,,,,,
06-05-2021,Andaman and Nicobar Islands,375477,6255,,,,,,,,,,
07-05-2021,Andaman and Nicobar Islands,375967,6311,,,,,,,,,,
08-05-2021,Andaman and Nicobar Islands,376536,6341,,,,,,,,,,
09-05-2021,Andaman and Nicobar Islands,376933,6367,,,,,,,,,,
10-05-2021,Andaman and Nicobar Islands,377293,6398,,,,,,,,,,
11-05-2021,Andaman and Nicobar Islands,377516,6426,,,,,,,,,,
12-05-2021,Andaman and Nicobar Islands,378060,6470,,,,,,,,,,
13-05-2021,Andaman and Nicobar Islands,378462,6510,,,,,,,,,,
14-05-2021,Andaman and Nicobar Islands,378887,6542,,,,,,,,,,
15-05-2021,Andaman and Nicobar Islands,379096,6568,,,,,,,,,,
16-05-2021,Andaman and Nicobar Islands,379674,6603,,,,,,,,,,
17-05-2021,Andaman and Nicobar Islands,380102,6638,,,,,,,,,,
